src,dst,proto,size,sport,dport
0.0.0.0,255.255.255.255,17,344,68.0,67.0
10.1.17.2,255.255.255.255,17,354,67.0,68.0
0.0.0.0,255.255.255.255,17,390,68.0,67.0
10.1.17.2,255.255.255.255,17,359,67.0,68.0
10.1.17.215,10.1.17.2,17,131,57386.0,53.0
10.1.17.2,10.1.17.215,17,202,53.0,57386.0
10.1.17.215,224.0.0.252,17,75,56330.0,5355.0
10.1.17.215,10.1.17.2,17,95,58958.0,53.0
10.1.17.2,10.1.17.215,17,111,53.0,58958.0
10.1.17.215,10.1.17.2,17,95,50322.0,53.0
10.1.17.2,10.1.17.215,17,174,53.0,50322.0
10.1.17.215,10.1.17.2,17,242,50323.0,389.0
10.1.17.2,10.1.17.215,17,224,389.0,50323.0
10.1.17.215,10.1.17.2,17,166,58958.0,53.0
10.1.17.2,10.1.17.215,17,166,53.0,58958.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,10.1.17.2,17,131,50322.0,53.0
10.1.17.2,10.1.17.215,17,202,53.0,50322.0
10.1.17.215,10.1.17.2,6,66,50084.0,389.0
10.1.17.2,10.1.17.215,6,66,389.0,50084.0
10.1.17.215,10.1.17.2,6,60,50084.0,389.0
10.1.17.215,10.1.17.2,17,242,50327.0,389.0
10.1.17.2,10.1.17.215,17,224,389.0,50327.0
10.1.17.215,10.1.17.2,6,1514,50084.0,389.0
10.1.17.215,10.1.17.2,6,748,50084.0,389.0
10.1.17.2,10.1.17.215,6,60,389.0,50084.0
10.1.17.2,10.1.17.215,6,257,389.0,50084.0
10.1.17.215,10.1.17.2,6,129,50084.0,389.0
10.1.17.2,10.1.17.215,6,60,389.0,50084.0
10.1.17.215,10.1.17.2,6,60,50084.0,389.0
10.1.17.215,224.0.0.252,17,75,56330.0,5355.0
10.1.17.215,10.1.17.2,17,84,62933.0,53.0
10.1.17.215,10.1.17.2,17,84,56454.0,53.0
10.1.17.2,10.1.17.215,17,166,53.0,62933.0
10.1.17.2,10.1.17.215,17,166,53.0,56454.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,239.255.255.250,17,179,50325.0,1900.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,10.1.17.2,17,242,56455.0,389.0
